dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
ilinet,ARIMA,injected_5pct,3.5,1,3,0.3432247549299795,19.0,,0.15789473684210525,,1.0,,0.2727272727272727,,0.673469387755102,0.32653061224489793,0.8367346938775511,applicable,0.2727272727272727,0.32653061224489793,0.0,0.0
ilinet,ARIMA,injected_5pct,4.0,1,3,0.38158490535318723,19.0,,0.15789473684210525,,1.0,,0.2727272727272727,,0.673469387755102,0.32653061224489793,0.8367346938775511,applicable,0.2727272727272727,0.32653061224489793,0.0,0.0
ilinet,ARIMA,injected_5pct,4.5,1,3,0.41994505577639496,17.0,,0.17647058823529413,,1.0,,0.3,,0.7142857142857143,0.2857142857142857,0.8571428571428572,applicable,0.2727272727272727,0.32653061224489793,0.027272727272727282,-0.040816326530612235
ilinet,ARIMA,injected_5pct,5.0,1,3,0.4583052061996026,15.0,,0.2,,1.0,,0.3333333333333333,,0.7551020408163265,0.24489795918367346,0.8775510204081632,applicable,0.2727272727272727,0.32653061224489793,0.06060606060606061,-0.08163265306122447
ilinet,ARIMA,proxy_robust_z,2.0,1,11,0.2281443036603564,14.0,,0.7142857142857143,,0.9090909090909091,,0.8,,0.9024390243902439,0.0975609756097561,0.9057649667405765,applicable,0.8,0.024390243902439025,0.0,0.07317073170731708
ilinet,ARIMA,proxy_robust_z,2.5,1,11,0.2665044540835641,11.0,,0.8181818181818182,,0.8181818181818182,,0.8181818181818182,,0.9512195121951219,0.04878048780487805,0.8847006651884701,applicable,0.8,0.024390243902439025,0.018181818181818188,0.024390243902439025
ilinet,ARIMA,proxy_robust_z,3.0,1,11,0.30486460450677183,11.0,,0.8181818181818182,,0.8181818181818182,,0.8181818181818182,,0.9512195121951219,0.04878048780487805,0.8847006651884701,applicable,0.8,0.024390243902439025,0.018181818181818188,0.024390243902439025
ilinet,ARIMA,proxy_robust_z,3.5,1,11,0.3432247549299795,9.0,,0.8888888888888888,,0.7272727272727273,,0.8,,0.975609756097561,0.024390243902439025,0.8514412416851441,applicable,0.8,0.024390243902439025,0.0,0.0
ilinet,ARIMA,proxy_robust_z,4.0,1,11,0.38158490535318723,9.0,,0.8888888888888888,,0.7272727272727273,,0.8,,0.975609756097561,0.024390243902439025,0.8514412416851441,applicable,0.8,0.024390243902439025,0.0,0.0
ilinet,ARIMA,proxy_robust_z,4.5,1,11,0.41994505577639496,7.0,,1.0,,0.6363636363636364,,0.7777777777777778,,1.0,0.0,0.8181818181818181,applicable,0.8,0.024390243902439025,-0.022222222222222254,-0.024390243902439025
ilinet,ARIMA,proxy_robust_z,5.0,1,11,0.4583052061996026,7.0,,1.0,,0.6363636363636364,,0.7777777777777778,,1.0,0.0,0.8181818181818181,applicable,0.8,0.024390243902439025,-0.022222222222222254,-0.024390243902439025
ilinet,LSTM,injected_10pct,2.0,10,5,0.5669306314676998,12.7,0.8232726023485646,0.3404761904761905,0.07145439563232767,0.86,0.16465452046971293,0.4874785001719986,0.09897540060599133,0.8212765957446809,0.17872340425531913,0.8406382978723403,applicable,0.4562728937728938,0.12978723404255318,0.0312056063991048,0.048936170212765945
