dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
electricity,LSTM,44,injected_5pct,42,4.184801020000123,0.009198343571521642,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,3,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,44,injected_10pct,42,4.184801020000123,0.009569387976171129,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,6,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,44,proxy_robust_z,42,4.184801020000123,0.010351224714256767,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,55,forecast_original,42,5.726639014000284,0.009817332595308212,19588,4897,0.3373933903351426,small,16,0.001,38,0.14074859398366224,0.10484327067832562,11.19111326958517,0.6334558436927682,0.6334558436927682,0,1,,,,forecast_only
electricity,LSTM,55,injected_5pct,42,5.726639014000284,0.010049535761893259,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,3,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,55,injected_10pct,42,5.726639014000284,0.009620759071432465,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,6,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,55,proxy_robust_z,42,5.726639014000284,0.009730919166681165,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,66,forecast_original,42,4.313501429999633,0.009464715690466533,19588,4897,0.3373933903351426,small,16,0.001,38,0.14670951632876514,0.10888553765712171,11.60970209620612,0.6017509573769909,0.6017509573769909,0,1,,,,forecast_only
electricity,LSTM,66,injected_5pct,42,4.313501429999633,0.010179225023832606,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,3,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,66,injected_10pct,42,4.313501429999633,0.010032259547664407,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,LSTM,66,proxy_robust_z,42,4.313501429999633,0.010220990285623495,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,77,forecast_original,42,5.860564508000607,0.010080142642826624,19588,4897,0.3373933903351426,small,16,0.001,38,0.1397402929164668,0.10611470867144691,11.481589102571437,0.6386887632141618,0.6386887632141618,0,1,,,,forecast_only
electricity,LSTM,77,injected_5pct,42,5.860564508000607,0.009798486309505063,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,77,injected_10pct,42,5.860564508000607,0.009803187500026633,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,LSTM,77,proxy_robust_z,42,5.860564508000607,0.009609415261928959,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
