dataset,model,model_type,seed,scenario,n_eval,K,training_time_sec,mean_inference_latency_sec,model_size_bytes,generations_ran,final_objective,threshold,mean_max_membership,mean_membership,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
ilinet,NFGA-Core,core,22,injected_10pct,52,5,0.9695151320001969,9.348361543113872e-05,1040,40,0.5174004113556675,2.0323563160029625,0.7121932302042832,0.1999999999997128,,,,,,5,4,0.0,0.0,0.0,applicable
ilinet,NFGA-Core,core,22,proxy_robust_z,52,5,0.9695151320001969,9.342684611860583e-05,1040,40,0.5174004113556675,2.0323563160029625,0.7157100571613259,0.19999999999971757,,,,,,11,3,1.0,0.2727272727272727,0.42857142857142855,applicable
ilinet,NFGA-Core,core,33,forecast_original,52,8,1.0950719660004324,0.0001214970770538807,1664,40,0.446857227464663,2.0323563160029625,0.5034960335795964,0.12499999998262766,0.7481312837862428,0.5201544708185214,19.15029465836873,0.8486085608987454,0.8486085608987454,0,3,,,,forecast_only
ilinet,NFGA-Core,core,33,injected_5pct,52,8,1.0950719660004324,0.0001398530000467592,1664,40,0.446857227464663,2.0323563160029625,0.5127972368864145,0.12499999998052987,,,,,,3,4,0.25,0.3333333333333333,0.2857142857142857,applicable
ilinet,NFGA-Core,core,33,injected_10pct,52,8,1.0950719660004324,9.793280768322942e-05,1664,40,0.446857227464663,2.0323563160029625,0.48822676730336945,0.12499999999287811,,,,,,5,4,0.0,0.0,0.0,applicable
ilinet,NFGA-Core,core,33,proxy_robust_z,52,8,1.0950719660004324,0.0001429133846193928,1664,40,0.446857227464663,2.0323563160029625,0.5034960335795964,0.12499999998262766,,,,,,11,3,1.0,0.2727272727272727,0.42857142857142855,applicable
ilinet,NFGA-Core,core,44,forecast_original,52,8,1.1203388159992755,0.00011090471154882555,1664,40,0.43968592424688135,2.0323563160029625,0.5494719807500507,0.12499999999926051,0.732140001223906,0.41032471967404377,12.102947286812968,0.8550113662325621,0.8550113662325621,0,3,,,,forecast_only
ilinet,NFGA-Core,core,44,injected_5pct,52,8,1.1203388159992755,9.171351934338208e-05,1664,40,0.43968592424688135,2.0323563160029625,0.5632538079078,0.12499999999922576,,,,,,3,5,0.4,0.6666666666666666,0.5,applicable
ilinet,NFGA-Core,core,44,injected_10pct,52,8,1.1203388159992755,9.32544807290889e-05,1664,40,0.43968592424688135,2.0323563160029625,0.5419078221184424,0.12499999999948222,,,,,,5,5,0.2,0.2,0.2,applicable
ilinet,NFGA-Core,core,44,proxy_robust_z,52,8,1.1203388159992755,9.262863459997998e-05,1664,40,0.43968592424688135,2.0323563160029625,0.5494719807500507,0.12499999999926051,,,,,,11,3,1.0,0.2727272727272727,0.42857142857142855,applicable
ilinet,NFGA-Core,core,55,forecast_original,52,7,0.6202401150003425,0.0001550109999558257,1456,22,0.43184582563825546,2.0323563160029625,0.599540473309466,0.14285714285696066,0.7299941813066837,0.5175201045820679,17.665778108422554,0.8558600114902412,0.8558600114902412,0,2,,,,forecast_only
ilinet,NFGA-Core,core,55,injected_5pct,52,7,0.6202401150003425,9.827540377325652e-05,1456,22,0.43184582563825546,2.0323563160029625,0.6087154178786064,0.14285714285694393,,,,,,3,5,0.4,0.6666666666666666,0.5,applicable
ilinet,NFGA-Core,core,55,injected_10pct,52,7,0.6202401150003425,9.328517309698397e-05,1456,22,0.43184582563825546,2.0323563160029625,0.5786959386648468,0.14285714285696624,,,,,,5,3,0.3333333333333333,0.2,0.25,applicable
ilinet,NFGA-Core,core,55,proxy_robust_z,52,7,0.6202401150003425,9.454821147650924e-05,1456,22,0.43184582563825546,2.0323563160029625,0.599540473309466,0.14285714285696066,,,,,,11,2,1.0,0.18181818181818182,0.3076923076923077,applicable
