dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,88,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,4,40,1.3551449070000672,9.43005952324581e-05,3392,123.4921055433103,93.60613715493623,90.16448945725983,0.9210236567877816,0.9210236567877816
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,99,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,3,38,1.3798961200000122,0.00011295857141357417,2544,163.35941826615812,149.16644430950754,56.299861943963116,0.8618003361859432,0.8618003361859432
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,110,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,3,40,0.9860180129999208,6.664586898555822e-05,2544,125.92008088323301,95.8253954572271,89.95625404001846,0.9178876241695663,0.9178876241695663
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,11,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,2,29,0.7364219259998208,6.77788094825311e-05,1696,136.2378839160387,120.17032308982326,50.91022221033595,0.9038798568242212,0.9038798568242212
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,22,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,3,22,0.5774496429994542,8.505014285392896e-05,2544,95.75590794364703,56.41213882974965,19.36101889585611,0.9525157276471045,0.9525157276471045
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,33,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,2,40,1.0853888210003788,6.531441666387157e-05,1696,109.31597327652725,87.15232414631785,41.03189195804182,0.9381149306747708,0.9381149306747708
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,44,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,2,40,1.0261466480005765,5.970008332735146e-05,1696,104.57786196272863,68.54943268285581,47.340244260578565,0.943363273037027,0.943363273037027
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,55,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,2,29,0.7419624479998674,6.722532143179532e-05,1696,107.81355807243303,83.0043044285222,37.372605958546885,0.939804311245278,0.939804311245278
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,66,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,2,40,0.980540657000347,0.00011649176188993373,1696,96.8148754194569,56.20765450383095,20.523989074669416,0.9514596602165751,0.9514596602165751
cholera,mutation_probability__high_0.45,mutation_probability,high_0.45,77,52,2,8,25,40,0.9,0.45,0.45,0.45,0.005,1e-06,4,40,1.0396672440001566,0.00010342444049153225,3392,98.19707263403197,57.25675482885582,18.77579253091583,0.9500637744969833,0.9500637744969833
